id,study,title,design,instrument,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
347,"Zheng, 2020",Improved Social Force Model Based on Emotional Con,simulation,B,,,,,,R,P,N,P,R
348,"Zheng, 2022",Multi-Robot-Assisted Human Crowd Evacuation using,simulation,B,,,,,,R,P,P,P,P
349,"Zheng, 2024",Multirobot-Guided Crowd Evacuation Two-Scale Mode,simulation,B,,,,,,R,P,P,R,P
350,"Zhou, 2018",Optimal number and location planning of evacuation,simulation,B,,,,,,R,P,P,R,P
352,"Zhou, 2019",Optimization of Crowd Evacuation With Leaders in U,simulation,B,,,,,,R,P,P,R,P
353,"Zhou, 2022",Multiagent evacuation framework for a virtual fire,simulation,B,,,,,,R,P,P,P,R
354,"Zhou, 2022",Robot-Guided Crowd Evacuation in a Railway Hub Sta,simulation,B,,,,,,R,P,P,P,P
355,"Zhou, 2023",Crowd Evacuation With Multi-Modal Cooperative Guid,simulation,B,,,,,,R,P,P,R,P
356,"Zhu, 2016",Experimental Study on Choice Behavior of Pedestria,empirical,A,R,R,R,P,P,,,,,
357,"Zhu, 2021",Optimal Feedback Control of Pedestrian Flow in Het,simulation,B,,,,,,R,R,P,R,P
358,"Zou, 2020",Simulation of Crowd Evacuation under Toxic Gas Inc,simulation,B,,,,,,R,R,N,R,R
401,"Wagner, 2021",Robot-Guided Evacuation as a Paradigm for Human-Robot Interaction Research,other,NA,,,,,,,,,,
402,"Radianti, 2014",Comparing Different Crowd Emergency Evacuation Models Based on Human Centered Sensing Criteria,other,NA,,,,,,,,,,
403,"Vihas, 2012",Follow-the-Leader Cellular Automata Based Model Directing Crowd Movement,simulation,B,,,,,,R,P,N,N,P
